Date,Timestamp,Open,High,Low,Close,Volume
20241209,00:00:00,2639.925,2650.515,2627.455,2638.694,17.940044692532
20241209,04:00:00,2638.695,2651.125,2634.505,2650.445,9.70785981694644
20241209,08:00:00,2650.465,2660.345,2645.915,2656.145,7.09977987255479
20241209,12:00:00,2656.115,2676.255,2653.175,2668.165,19.4261746248958
20241209,16:00:00,2668.165,2670.445,2658.755,2660.075,12.2304997462779
20241209,20:00:00,2660.075,2661.475,2656.675,2660.435,3.76688993244898
20241210,00:00:00,2660.415,2671.575,2657.805,2669.805,9.07319985333015
20241210,04:00:00,2669.855,2673.625,2663.525,2664.468,9.95417982639628
20241210,08:00:00,2664.465,2676.675,2661.064,2674.425,9.67135982160107
20241210,12:00:00,2674.465,2691.634,2672.205,2687.205,17.3659997016584
20241210,16:00:00,2687.184,2695.378,2684.525,2691.798,13.1910497932695
20241210,20:00:00,2691.798,2698.195,2690.755,2695.798,4.53720992591479
20241211,00:00:00,2695.835,2704.098,2691.684,2695.435,14.0459308789505
20241211,04:00:00,2695.344,2697.538,2674.345,2689.534,12.6631598343993
20241211,08:00:00,2689.534,2699.585,2685.724,2696.364,19.2370296920853
20241211,12:00:00,2696.374,2715.855,2690.334,2712.994,28.9354755191489
20241211,16:00:00,2713.034,2721.005,2710.904,2717.945,29.5020893934416
20241211,20:00:00,2717.935,2720.185,2715.885,2719.835,4.89612992705952
20241212,00:00:00,2719.115,2725.675,2697.885,2710.465,10.8973698227819
20241212,04:00:00,2710.445,2720.315,2709.565,2715.944,11.3679198277823
20241212,08:00:00,2715.914,2719.325,2707.165,2710.685,20.1732296905539
20241212,12:00:00,2710.685,2712.205,2675.055,2679.584,32.5521694540221
20241212,16:00:00,2679.535,2686.855,2677.124,2682.864,16.7015497029934
20241212,20:00:00,2682.764,2683.425,2679.235,2680.565,5.48887992331584
20241213,00:00:00,2680.534,2692.595,2678.675,2687.885,14.8703197539726
20241213,04:00:00,2687.834,2690.324,2680.845,2682.965,14.3458897578093
20241213,08:00:00,2682.945,2684.615,2664.118,2664.705,17.1074096964512
20241213,12:00:00,2664.655,2672.805,2654.525,2659.755,20.2810096259636
20241213,16:00:00,2659.674,2664.415,2651.905,2652.765,14.1443397413823
20241213,20:00:00,2652.765,2653.345,2645.945,2647.385,3.03942000562529
20241215,20:00:00,2649.098,2652.845,2648.548,2651.345,0.920109985134332
20241216,00:00:00,2651.285,2655.448,2643.374,2653.618,12.273299835244
20241216,04:00:00,2653.618,2655.765,2649.374,2653.598,11.1485098490084
20241216,08:00:00,2653.635,2663.975,2652.028,2663.385,10.5604598607315
20241216,12:00:00,2663.405,2664.248,2650.695,2654.214,20.6479396409268
20241216,16:00:00,2654.255,2655.618,2648.475,2653.125,7.78894985203806
20241216,20:00:00,2653.125,2653.435,2651.345,2651.565,4.0347499421041
20241217,00:00:00,2651.565,2658.465,2651.015,2653.435,9.1686798613664
20241217,04:00:00,2653.465,2656.948,2646.294,2653.565,11.2791697991197
20241217,08:00:00,2653.565,2653.565,2635.994,2642.085,17.7175398102554
20241217,12:00:00,2642.085,2646.748,2632.795,2640.005,19.4480196656514
20241217,16:00:00,2639.995,2648.865,2636.464,2645.195,10.7254798064969
20241217,20:00:00,2645.248,2647.498,2642.874,2647.198,2.75217995095591
20241218,00:00:00,2647.165,2651.525,2645.018,2645.555,11.6683598220552
20241218,04:00:00,2645.554,2649.348,2642.555,2644.545,9.80609987460775
20241218,08:00:00,2644.495,2649.535,2641.945,2645.995,9.14560984443597
20241218,12:00:00,2645.985,2647.705,2634,2638.075,26.7644597754188
20241218,16:00:00,2638.085,2639.895,2603.975,2604.435,43.6464466871585
